cas operacie,index prvku,dlzka zoznamu,
2e-07,0,26,
2e-07,0,25,
2e-07,0,24,
2e-07,0,23,
3e-07,0,20,
2e-07,0,22,
2e-07,0,21,
2e-07,0,21,
3e-07,0,19,
2e-07,0,18,
2e-07,0,19,
2e-07,0,20,
3e-07,0,21,
4e-07,0,23,
2e-07,0,22,
2e-07,0,20,
2e-07,0,24,
2e-07,0,25,
2e-07,0,25,
3e-07,0,26,
3e-07,0,21,
2e-07,0,20,
2e-07,0,23,
2e-07,0,20,
3e-07,0,19,
2e-07,0,18,
3e-07,0,18,
3e-07,0,17,
2e-07,0,16,
2e-07,0,14,
3e-07,0,15,
2e-07,0,14,
3e-07,0,12,
2e-07,0,12,
2e-07,0,10,
2e-07,0,9,
2e-07,0,9,
3e-07,0,13,
2e-07,0,12,
2e-07,0,11,
2e-07,0,10,
2e-07,0,11,
2e-07,0,12,
2e-07,0,14,
2e-07,0,19,
2e-07,0,18,
3e-07,0,17,
2e-07,0,16,
2e-07,0,17,
2e-07,0,17,
2e-07,0,19,
2e-07,0,20,
2e-07,0,18,
2e-07,0,19,
2e-07,0,16,
2e-07,0,14,
2e-07,0,14,
2e-07,0,12,
3e-07,0,16,
3e-07,0,15,
2e-07,0,15,
3e-07,0,13,
2e-07,0,11,
2e-07,0,10,
2e-07,0,10,
3e-07,0,9,
2e-07,0,9,
2e-07,0,9,
3e-07,0,5,
2e-07,0,2,
1e-06,0,0,
2e-07,0,3,
2e-07,0,2,
2e-07,0,4,
3e-07,0,1,
2e-07,0,0,
3e-07,0,1,
2e-07,0,5,
2e-07,0,8,
2e-07,0,8,
2e-07,0,8,
2e-07,0,6,
3e-07,0,0,
3e-07,0,1,
2e-07,0,0,
2e-07,0,1,
2e-07,0,0,
3e-07,0,1,
2e-07,0,2,
3e-07,0,7,
3e-07,0,10,
2e-07,0,8,
2e-07,0,8,
2e-07,0,7,
2e-07,0,7,
2e-07,0,6,
3e-07,0,4,
2e-07,0,6,
2e-07,0,4,
3e-07,0,6,
2e-07,0,6,
2e-07,0,6,
2e-07,0,5,
3e-07,0,7,
2e-07,0,7,
2e-07,0,6,
2e-07,0,6,
2e-07,0,2,
3e-07,0,7,
2e-07,0,8,
2e-07,0,7,
2e-07,0,6,
2e-07,0,7,
3e-07,0,9,
2e-07,0,8,
2e-07,0,9,
2e-07,0,9,
2e-07,0,10,
2e-07,0,11,
3e-07,0,10,
2e-07,0,16,
2e-07,0,17,
2e-07,0,18,
2e-07,0,15,
2e-07,0,17,
2e-07,0,20,
3e-07,0,19,
2e-07,0,18,
2e-07,0,19,
2e-07,0,20,
2e-07,0,21,
2e-07,0,20,
3e-07,0,19,
5e-07,0,25,
2e-07,0,31,
4e-07,0,33,
3e-07,0,37,
3e-07,0,38,
3e-07,0,36,
3e-07,0,36,
2e-07,0,30,
2e-07,0,30,
2e-07,0,31,
3e-07,0,31,
2e-07,0,28,
3e-07,0,26,
3e-07,0,23,
3e-07,0,27,
3e-07,0,26,
2e-07,0,24,
2e-07,0,22,
2e-07,0,20,
2e-07,0,21,
2e-07,0,23,
2e-07,0,24,
2e-07,0,23,
2e-07,0,22,
2e-07,0,21,
2e-07,0,20,
2e-07,0,19,
3e-07,0,19,
2e-07,0,18,
3e-07,0,17,
2e-07,0,17,
2e-07,0,22,
2e-07,0,21,
3e-07,0,20,
2e-07,0,21,
3e-07,0,18,
2e-07,0,18,
2e-07,0,18,
2e-07,0,27,
2e-07,0,25,
2e-07,0,24,
3e-07,0,23,
2e-07,0,27,
2e-07,0,26,
2e-07,0,20,
2e-07,0,21,
2e-07,0,20,
2e-07,0,20,
2e-07,0,19,
3e-07,0,21,
2e-07,0,20,
2e-07,0,21,
2e-07,0,29,
2e-07,0,28,
2e-07,0,28,
2e-07,0,26,
2e-07,0,29,
2e-07,0,29,
2e-07,0,28,
2e-07,0,28,
3e-07,0,29,
2e-07,0,29,
2e-07,0,33,
2e-07,0,31,
2e-07,0,30,
2e-07,0,29,
2e-07,0,32,
3e-07,0,41,
2e-07,0,45,
2e-07,0,43,
3e-07,0,38,
2e-07,0,37,
3e-07,0,35,
3e-07,0,34,
2e-07,0,32,
2e-07,0,31,
2e-07,0,30,
2e-07,0,29,
3e-07,0,27,
3e-07,0,29,
2e-07,0,29,
2e-07,0,28,
3e-07,0,27,
2e-07,0,26,
2e-07,0,27,
2e-07,0,29,
2e-07,0,33,
2e-07,0,33,
2e-07,0,36,
2e-07,0,38,
3e-07,0,36,
3e-07,0,34,
2e-07,0,34,
2e-07,0,34,
2e-07,0,32,
2e-07,0,33,
2e-07,0,31,
2e-07,0,34,
2e-07,0,33,
2e-07,0,32,
2e-07,0,32,
2e-07,0,32,
7e-07,0,32,
3e-07,0,30,
3e-07,0,29,
2e-07,0,26,
3e-07,0,26,
2e-07,0,24,
2e-07,0,22,
2e-07,0,24,
2e-07,0,23,
2e-07,0,25,
2e-07,0,24,
3e-07,0,23,
2e-07,0,22,
3e-07,0,21,
2e-07,0,19,
2e-07,0,19,
2e-07,0,20,
3e-07,0,19,
3e-07,0,19,
2e-07,0,21,
3e-07,0,20,
2e-07,0,19,
2e-07,0,19,
2e-07,0,19,
2e-07,0,20,
2e-07,0,19,
2e-07,0,20,
2e-07,0,18,
2e-07,0,17,
2e-07,0,20,
2e-07,0,18,
2e-07,0,17,
2e-07,0,18,
2e-07,0,17,
2e-07,0,16,
2e-07,0,15,
2e-07,0,12,
3e-07,0,9,
3e-07,0,9,
2e-07,0,8,
2e-07,0,8,
3e-07,0,7,
3e-07,0,14,
3e-07,0,15,
3e-07,0,16,
3e-07,0,16,
3e-07,0,17,
3e-07,0,16,
4e-07,0,14,
5e-07,0,13,
2e-07,0,12,
2e-07,0,12,
3e-07,0,11,
2e-07,0,11,
4e-07,0,17,
6e-07,0,16,
3e-07,0,24,
2e-07,0,27,
3e-07,0,30,
3e-07,0,29,
2e-07,0,27,
2e-07,0,26,
2e-07,0,26,
4e-07,0,27,
3e-07,0,26,
6e-07,0,26,
4e-07,0,24,
3e-07,0,24,
4e-07,0,25,
4e-07,0,24,
3e-07,0,26,
3e-07,0,25,
3e-07,0,24,
6e-07,0,29,
3e-07,0,30,
4e-07,0,28,
2e-07,0,27,
3e-07,0,26,
2e-07,0,28,
2e-07,0,26,
3e-07,0,23,
5e-07,0,23,
4e-07,0,20,
5e-07,0,20,
3e-07,0,20,
3e-07,0,20,
2e-07,0,19,
3e-07,0,17,
3e-07,0,16,
3e-07,0,15,
3e-07,0,16,
4e-07,0,16,
3e-07,0,18,
2e-07,0,16,
3e-07,0,16,
3e-07,0,16,
3e-07,0,14,
4e-07,0,14,
2e-07,0,13,
3e-07,0,11,
3e-07,0,10,
3e-07,0,9,
3e-07,0,4,
3e-07,0,3,
3e-07,0,6,
3e-07,0,5,
4e-07,0,5,
3e-07,0,5,
3e-07,0,5,
3e-07,0,5,
3e-07,0,4,
4e-07,0,3,
1.1e-06,0,0,
3e-07,0,1,
3e-07,0,3,
3e-07,0,7,
4e-07,0,6,
3e-07,0,10,
3e-07,0,14,
4e-07,0,14,
3e-07,0,13,
3e-07,0,9,
3e-07,0,7,
3e-07,0,7,
5e-07,0,5,
3e-07,0,4,
3e-07,0,5,
2e-07,0,9,
3e-07,0,10,
3e-07,0,10,
2e-07,0,10,
4e-07,0,9,
3e-07,0,6,
3e-07,0,6,
3e-07,0,5,
4e-07,0,7,
5e-07,0,6,
3e-07,0,5,
4e-07,0,6,
3e-07,0,4,
2e-07,0,3,
2e-07,0,5,
4e-07,0,6,
2e-07,0,4,
3e-07,0,8,
3e-07,0,10,
3e-07,0,13,
3e-07,0,9,
3e-07,0,7,
3e-07,0,11,
3e-07,0,8,
3e-07,0,8,
4e-07,0,6,
3e-07,0,11,
2e-07,0,13,
3e-07,0,12,
4e-07,0,10,
3e-07,0,5,
3e-07,0,5,
2e-07,0,6,
3e-07,0,8,
2e-07,0,12,
3e-07,0,13,
3e-07,0,17,
3e-07,0,14,
3e-07,0,12,
4e-07,0,12,
3e-07,0,11,
2e-07,0,10,
4e-07,0,10,
3e-07,0,9,
3e-07,0,7,
4e-07,0,8,
2e-07,0,7,
2e-07,0,6,
3e-07,0,9,
4e-07,0,8,
2e-07,0,16,
2e-07,0,17,
2e-07,0,15,
2e-07,0,17,
3e-07,0,18,
2e-07,0,19,
2e-07,0,17,
2e-07,0,15,
2e-07,0,15,
2e-07,0,17,
2e-07,0,20,
2e-07,0,17,
3e-07,0,17,
2e-07,0,19,
2e-07,0,21,
3e-07,0,20,
2e-07,0,19,
2e-07,0,20,
2e-07,0,20,
3e-07,0,20,
2e-07,0,19,
2e-07,0,18,
2e-07,0,16,
2e-07,0,17,
3e-07,0,19,
2e-07,0,18,
2e-07,0,20,
2e-07,0,21,
2e-07,0,20,
3e-07,0,19,
3e-07,0,17,
2e-07,0,18,
3e-07,0,15,
2e-07,0,16,
2e-07,0,14,
2e-07,0,13,
2e-07,0,16,
2e-07,0,15,
3e-07,0,15,
2e-07,0,16,
2e-07,0,17,
2e-07,0,16,
2e-07,0,18,
2e-07,0,17,
2e-07,0,16,
2e-07,0,16,
2e-07,0,19,
2e-07,0,19,
2e-07,0,21,
3e-07,0,21,
2e-07,0,19,
2e-07,0,16,
2e-07,0,14,
2e-07,0,14,
2e-07,0,11,
2e-07,0,10,
2e-07,0,12,
2e-07,0,12,
2e-07,0,11,
2e-07,0,10,
2e-07,0,10,
2e-07,0,8,
2e-07,0,3,
2e-07,0,6,
2e-07,0,4,
2e-07,0,3,
2e-07,0,7,
2e-07,0,7,
2e-07,0,8,
3e-07,0,12,
2e-07,0,9,
6e-07,0,12,
5e-07,0,13,
2e-07,0,11,
2e-07,0,9,
3e-07,0,8,
2e-07,0,9,
4e-07,0,9,
2e-07,0,8,
2e-07,0,10,
2e-07,0,10,
2e-07,0,8,
2e-07,0,11,
3e-07,0,10,
2e-07,0,9,
3e-07,0,6,
2e-07,0,4,
2e-07,0,3,
2e-07,0,2,
2e-07,0,1,
2e-07,0,0,
2e-07,0,5,
2e-07,0,5,
2e-07,0,3,
2e-07,0,2,
2e-07,0,0,
2e-07,0,4,
2e-07,0,8,
3e-07,0,8,
3e-07,0,6,
2e-07,0,6,
3e-07,0,5,
2e-07,0,4,
2e-07,0,4,
3e-07,0,3,
2e-07,0,2,
3e-07,0,1,
5e-07,0,0,
3e-07,0,7,
2e-07,0,6,
4e-07,0,5,
3e-07,0,6,
6.07e-05,0,3,
7e-07,0,2,
4e-07,0,1,
3e-07,0,0,
2e-07,0,0,
